Timestamp,What is your age?,What is your gender?,Espresso,Double Espresso,Americano,Cappuccino,Latte,Flat White,Macchiato,Cortado,Affogato,  Mocha  ,What time of day do you normally drink the drinks in this category?,Oat Milk Latte,Almond Milk Latte,  Soy Milk Latte  ,Coconut Milk Latte,Oat Milk Americano,Almond Milk Americano,Soy Milk Americano,Coconut Milk Americano,Oat Milk Cappuccino,"Almond Milk Cappuccino
",Soy Milk Cappuccino,Coconut Milk Cappuccino,What time of day do you normally drink the drinks in this category?,Iced Americano,Iced Latte,Iced Vanilla Latte,Iced Caramel Latte,Cold Brew,What time of day do you normally drink the drinks in this category?,Decaf Americano,Decaf Espresso,  Decaf Cappuccino  ,  Decaf Latte  ,Decaf Flat White,What time of day do you normally drink the drinks in this category?,  Vienna Coffee  ,  Irish Coffee  ,  Turkish Coffee  ,  Pour Over  ,What time of day do you normally drink the drinks in this category?,  Pumpkin Spice Latte  ,  Salted Caramel Latte  ,  Vanilla Latte  ,  Caramel Latte  ,  Gingerbread Latte  ,  Hazelnut Latte  ,What time of day do you normally drink the drinks in this category?,Matcha Latte,Chai Latte,Peppermint Latte,Dirty Chai,What time of day do you normally drink the drinks in this category?,Chamomile Tea,  Peppermint Tea  ,  Ginger Tea  ,  Lavender Tea  ,  Hibiscus Tea  ,What time of day do you normally drink the drinks in this category?,Irish Tea,Irish Tea with Milk,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,"
Espresso
Question Type
to
1
"
2/10/2026 14:42:33,18 - 24,,1,1,1,5,5,,2,2,,4,,4,4,2,,,,,,,,,,,3,5,,,,,,,4,4,,,,,,,,5,5,5,5,5,5,,5,4,,,,4,5,5,4,,,2,5,,,,,,,,,,,
2/11/2026 15:41:13,18 - 24,Female,3,3,3,4,4,5,4,4,1,2,Morning,2,2,3,4,3,3,3,4,3,3,4,4,Morning,5,5,4,3,2,Morning,1,1,1,3,3,Night,,,,,,5,2,5,2,5,2,Afternoon,5,5,,5,Afternoon,5,2,,5,4,Night,3,3,Night,,,,,,,,,,
2/11/2026 15:48:15,18 - 24,Male,2,1,2,3,,,,,,5,Afternoon,,,,,,,,,,,,,,2,3,4,5,4,Afternoon,,,,,,,5,5,5,5,Afternoon,4,5,5,5,5,4,Afternoon,4,5,3,5,Afternoon,3,4,4,3,3,Night,4,5,Night,,,,,,,,,,
2/11/2026 15:51:07,18 - 24,Female,1,1,1,2,4,,3,1,5,5,Morning,4,,4,,,,,,,,,,Morning,1,5,5,5,,Morning,,,,,,,2,4,5,2,Afternoon,5,5,5,5,5,5,Afternoon,5,5,,5,Morning,5,1,5,,5,Night,1,1,,,,,,,,,,,
2/11/2026 15:55:24,18 - 24,Male,3,3,2,3,5,4,3,2,1,4,Morning,5,5,4,5,3,3,2,2,3,2,2,2,Morning,1,4,4,4,3,Morning,2,2,2,3,2,Morning,3,3,3,5,Morning,2,3,3,3,2,3,Morning,4,3,1,3,Morning,2,2,3,2,2,Night,3,4,Night,,,,,,,,,,
2/11/2026 16:04:41,25 - 35,Female,4,3,5,2,4,1,3,3,4,1,Morning,4,1,4,3,1,1,1,1,1,1,1,,Afternoon,5,5,3,1,5,Morning,1,1,1,1,1,,,5,,3,,2,2,2,2,,,,1,2,1,4,Afternoon,5,5,1,4,3,Afternoon,4,4,Night,,,,,,,,,,
2/11/2026 20:00:49,46 - 55,Male,2,,,,,,,,,,Morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2026 10:27:37,25 - 35,Female,1,1,1,3,5,2,4,1,1,5,Morning,5,3,1,5,1,1,1,1,4,3,1,5,Morning,3,5,5,5,1,Afternoon,1,1,5,5,2,Night,,,,,,5,5,5,5,5,5,Afternoon,5,4,,4,Afternoon,3,5,5,5,3,Night,3,4,Afternoon,,,,,,,,,,
2/12/2026 10:30:11,36 - 45,Male,4,4,4,3,2,3,,,1,1,Morning,1,1,1,1,1,1,1,1,1,1,1,1,Morning,3,2,1,,3,Afternoon,4,4,2,2,3,Night,5,4,5,5,Morning,1,1,1,1,1,1,Afternoon,1,3,1,3,Afternoon,4,4,1,1,3,Night,3,5,Night,,,,,,,,,,
2/12/2026 12:39:05,46 - 55,Female,4,2,3,5,5,3,5,,3,5,Morning,,2,2,2,,,,,,,,,Evening,5,5,5,5,5,Afternoon,,,3,,,Night,5,5,,5,Night,5,4,5,5,,5,Afternoon,3,4,,,Afternoon,5,2,2,,,Afternoon,5,5,Night,,,,,,,,,,
2/12/2026 13:27:44,56 +,Female,3,2,3,5,5,4,4,4,4,5,Morning,,,,,,,,,,,,,,,4,,,,Morning,4,,3,3,3,Morning,,,,,,,4,,,,5,Morning,5,,,,Morning,3,2,2,4,3,Afternoon,1,1,Afternoon,,,,,,,,,,
2/12/2026 13:41:45,18 - 24,Female,1,,2,5,4,,1,,,3,Morning,4,1,1,4,,,,,5,2,1,5,Morning,3,5,5,5,,Afternoon,,,3,3,,Night,,,,,,5,5,5,5,5,5,Afternoon,5,2,,2,Afternoon,5,5,1,2,2,Night,2,3,Night,,,,,,,,,,
2/12/2026 14:21:47,56 +,Male,4,4,5,3,3,1,3,,,2,Morning,,,,,,,,,,,,,,,,3,,1,Afternoon,2,2,,,,Afternoon,3,4,3,3,Night,1,1,1,,,2,Morning,,,,,,2,2,2,,,Night,5,,Afternoon,,,,,,,,,,
2/12/2026 14:25:28,56 +,Male,5,5,3,1,1,2,2,,,1,Morning,4,,,,4,,,,,,,,Morning,1,,,1,,Afternoon,,,,,,,2,2,1,,Night,,,,,,,,,,,,,,1,1,,,Night,,,,,,,,,,,,,
2/12/2026 15:04:57,56 +,Female,3,1,5,2,1,1,3,1,1,2,Morning,,2,,,,3,,,,,,,Morning,,,3,3,1,Morning,,,,,,,4,5,,,Night,,2,2,2,,,Afternoon,,,,,,4,5,3,,3,Afternoon,,,,,,,,,,,,,
2/12/2026 19:39:43,46 - 55,Prefer not to say,4,2,4,4,3,3,5,5,4,2,Morning,,,,,,,,,,,,,,,,,,,,4,,4,,,Morning,,,,,,,,,,,,,,,,,,4,3,,,,,1,5,Morning,,,,,,,,,,
2/12/2026 20:23:13,46 - 55,Male,1,1,5,3,1,,,,,,Afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,4,,,,,Afternoon,5,5,Morning,,,,,,,,,,
2/13/2026 11:27:25,18 - 24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/2026 11:27:40,18 - 24,Male,,,,,,,,,,,Morning,,,,,,,,,,,,,Morning,,,,,,Morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/2026 11:28:30,18 - 24,Male,4,2,1,5,5,3,4,3,3,4,Morning,4,4,4,3,1,1,1,1,4,4,4,3,Morning,1,4,4,4,3,Afternoon,1,1,1,1,1,,,3,,,Afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/2026 11:29:24,18 - 24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,Afternoon,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,Afternoon,3,4,Afternoon,,,,,,,,,,
2/13/2026 11:31:24,18 - 24,Male,4,4,3,4,5,4,2,3,5,5,Afternoon,2,3,2,2,2,3,2,2,2,3,2,2,Afternoon,3,4,4,4,3,Afternoon,3,3,4,4,3,Night,4,5,3,3,Night,3,5,5,4,4,5,Afternoon,2,2,3,,Afternoon,2,3,3,3,2,Morning,5,4,Morning,,,,,,,,,,
2/13/2026 11:32:01,18 - 24,Male,3,3,4,2,4,4,1,3,1,1,Morning,4,2,1,3,5,2,1,,,,,,Morning,4,5,5,5,5,Afternoon,,,,,,,,3,,,Night,1,3,,4,4,4,Afternoon,,,,,,5,,3,,,Night,5,5,Morning,,,,,,,,,,
2/13/2026 11:34:12,18 - 24,Male,1,1,1,1,3,3,1,1,1,5,Afternoon,1,1,1,1,1,1,1,1,1,1,1,1,,,,,4,,,,,,,,,,4,,,Night,4,4,4,4,,5,Afternoon,,,,,,,5,,,,Afternoon,5,5,Afternoon,,,,,,,,,,
